ContentsCode_kode,scenario_kode,område_kode,alder_kode,år_kode,ContentsCode_navn,scenario_navn,område_navn,alder_navn,år_navn,verdi
EliminatedValue,0,102,0,0,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2025,9613
EliminatedValue,0,102,0,1,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2026,9682
EliminatedValue,0,102,0,2,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2027,9814
EliminatedValue,0,102,0,3,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2028,9896
EliminatedValue,0,102,0,4,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2029,9916
EliminatedValue,0,102,0,5,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2030,9869
EliminatedValue,0,102,0,6,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2031,9813
EliminatedValue,0,102,0,7,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2032,9765
EliminatedValue,0,102,0,8,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2033,9720
EliminatedValue,0,102,0,9,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2034,9680
EliminatedValue,0,102,0,10,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2035,9644
EliminatedValue,0,102,0,11,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2036,9611
EliminatedValue,0,102,0,12,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2037,9576
EliminatedValue,0,102,0,13,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2038,9539
EliminatedValue,0,102,0,14,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2039,9497
EliminatedValue,0,102,0,15,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2040,9448
EliminatedValue,0,102,0,16,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2041,9395
EliminatedValue,0,102,0,17,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2042,9336
EliminatedValue,0,102,0,18,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2043,9271
EliminatedValue,0,102,0,19,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2044,9202
EliminatedValue,0,102,0,20,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2045,9129
EliminatedValue,0,102,0,21,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2046,9054
EliminatedValue,0,102,0,22,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2047,8976
EliminatedValue,0,102,0,23,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2048,8896
EliminatedValue,0,102,0,24,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2049,8815
EliminatedValue,0,102,0,25,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Grønland,Alder i alt,2050,8733
EliminatedValue,0,103,0,0,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Enerhaugen,Alder i alt,2025,7526
EliminatedValue,0,103,0,1,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Enerhaugen,Alder i alt,2026,7555
EliminatedValue,0,103,0,2,"BEF036: Befolkningsframskrivingen for Oslo 2025. Framskrevet folkemengde etter aldersgrupper og geografisk område (D), i ulike scenarioer (alternativer), 2025-2050",Mellomalternativet MMM,Enerhaugen,Alder i alt,2027,7607
